Data Source;Time;Value,
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003X|Gap|Trigger|Current percent|HiHi;""2026-10-20 11:44:48","031631"";1676.1324961454"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003X|1X Amp|Trigger|Current percent|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003X|1X Amp|Trigger|Current percent|Hi;""2026-10-20 11:44:48","031631"";72.2104551946478"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\HP BFWP|29VT-2003X|1X Amp|Trigger|Current percent|HiHi;""2026-10-20 11:44:48","031631"";7221.04551946478"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29VT-2007Y|Direct|Lo;""2026-10-20 11:44:48","031631"";12.8030990600586"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29VT-2007Y|Direct|Based Value;""2026-10-20 11:44:48","031631"";16.0038738250732"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29VT-2007Y|Direct|Hi;""2026-10-20 11:44:48","031631"";19.2046485900879"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29VT-2007Y|Direct|Trigger|Current percent|Minimum;""2026-10-20 11:44:48","031631"";0"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29VT-2007Y|Direct|Trigger|Current percent|Hi;""2026-10-20 11:44:48","031631"";20"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29VT-2007Y|Direct|Trigger|Current percent|HiHi;""2026-10-20 11:44:48","031631"";2000"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29VT-2007Y|Gap|Lo;""2026-10-20 11:44:48","031631"";-6.6059458350529"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29VT-2007Y|Gap|Based Value;""2026-10-20 11:44:48","031631"";-6.24232721328735"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29VT-2007Y|Gap|Hi;""2026-10-20 11:44:48","031631"";-5.8787085915218"
"\\SRV-PI-AF01\CBM\Utility\Steam Generation\P29201A-HP BFW Pumps\Turbine|29VT-2007Y|1X Amp|Lo;""2026-10-20 11:44:48","031631"";-65.2662477493286"
